ID          FName                                              LName                                              Salary
1           Gabriel                                            GABI                                               NULL
2           Nkeng                                              GABI                                               NULL
3           Nkengasong                                         GABI                                               NULL
4           Joshua                                             GABI                                               NULL
5           Nkengasong                                         GABI                                               NULL
6           Joshua                                             GABI                                               NULL
7           Joshua                                             GABI                                               NULL
8           Belinda                                            GABI                                               NULL
9           Belinda2                                           GABI                                               NULL
10          Mac                                                GABI                                               NULL
11          BATI2                                              GABI2                                              NULL
12          BATI2                                              GABI2                                              NULL
1002        GAb                                                LOnh                                               2500
2002        Pascal                                             Tom                                                2500
2003        Pascal                                             Tom                                                2500
